,Ticker,Growth
0,AAON,0.06039165584
1,ABTX,0.08022884389132712
2,ACGL,0.07467421663189634
3,ADBE,0.09607473324700543
4,ADP,0.07668884967595686
5,ADV,0.01
6,AFYA,0.01
7,AGYS,0.01
8,AIMC,0.20952989200761749
9,ALTA,0.09487629652000001
10,APR,0.01
11,AVGO,0.01
12,AVID,0.11714863650564754
13,AZPN,0.1222958207377218
14,BFST,0.07900919374721649
15,BL,0.01
16,CACC,0.0809531453121401
17,CARG,0.17852128403
18,CDNS,0.10139730283000001
19,CENT,0.05093307278074216
20,CENTA,0.05073514363010365
21,CHX,0.01
22,CINF,0.06844166407009203
23,CME,0.04982367496595093
24,CMPR,0.01
25,COUP,0.01
26,CPSI,0.06507606701221992
27,CPSS,0.01
28,CRESY,0.07458346143788697
29,CSGP,0.07174255515140766
30,CTAS,0.13284949352359826
31,CTRE,0.01
32,DBX,0.01
33,DCOM,0.01
34,DLHC,0.0707470991553349
35,DSGX,
36,DSKE,0.01
37,DXCM,0.01
38,ECPG,0.047931089008381375
39,EGAN,0.01
40,ENTG,0.11221810598537686
41,ESXB,0.10094444066677084
42,ETSY,0.1471257950207227
43,EXPI,0.01
44,FBMS,0.09575330418500531
45,FELE,0.09548389214833067
46,FFWM,0.12141580889845036
47,FISV,0.07227363525914882
48,FIVN,0.01
49,FOCS,0.0862778583026449
50,FORR,0.09640476809314234
51,FTNT,0.10912953006000001
52,FUNC,0.059121573304266886
53,FVCB,0.041590985254395675
54,GABC,0.07199088209871424
55,HBIO,0.01
56,HCKT,0.07582554403000001
57,HHR,0.28556242005608773
58,HLIO,0.11303551837
59,HLNE,0.08405566022313037
60,HMTV,0.0902706369206184
61,HTBK,0.11384378361311796
62,HURN,0.01
63,IART,0.01
64,IBKR,0.06967713449
65,INMD,0.01
66,INSE,0.01
67,INTC,0.05725914818894147
68,INTU,0.09925368150664222
69,INVA,0.04919303199064979
70,ITRN,0.12232112013677338
71,KNSL,0.08111955180503477
72,LAMR,0.11507169846941948
73,LCUT,0.08885548962854793
74,LFVN,
75,LHCG,0.048572526343946903
76,LKQ,0.1347590025882415
77,LMST,0.05759251437755455
78,LOCO,0.13322500527610084
79,LPLA,0.10351394804350456
80,MCFE,0.01
81,MCHP,0.01
82,MDLZ,0.061089078783373434
83,MLVF,0.01
84,MNSB,0.05470665153996882
85,MNTV,0.01
86,MPWR,0.09105863000999999
87,MRCY,
88,MSFT,0.07861393931585675
89,NCBS,0.06720851717045555
90,NEOG,0.05496376169
91,NMIH,0.1341389434797584
92,NSSC,0.1333915602794379
93,NTES,0.05020719981
94,NVDA,0.13093038212610855
95,NVEE,0.10319993345
96,OCFC,0.08226301168311943
97,OMCL,0.01
98,OSIS,0.06661564048422838
99,OTEX,0.07765250015651128
100,PLTK,0.01
101,PRFT,0.1370816581685334
102,PRGS,0.10361623804133831
103,QCRH,0.09538524268213529
104,QDEL,
105,QNST,0.09068421485
106,QRVO,0.12145411260591851
107,RDWR,0.08978800834999999
108,SBAC,0.01
109,SBFG,0.10755939184776642
110,SBGI,0.01
111,SBNY,0.16810480246248005
112,SCPL,0.01
113,SFM,0.034112110380000005
114,SFNC,0.061074378360024134
115,SIVB,0.18758609796058576
116,SMBC,0.0842382067713527
117,SPNS,0.1262694884695241
118,SPSC,0.08950563836
119,SYNH,0.13356094690729717
120,TCBK,0.07168857041290776
121,TEAM,0.01
122,TRMB,0.13626992347028952
123,TRUE,0.01
124,TSCO,0.09927860107067868
125,TTEC,0.07942555053816582
126,TTEK,0.08103252487370378
127,TTGT,0.08481410972482978
128,TW,0.08241461008
129,USCR,0.01
130,VCTR,0.08014874320990925
131,VRNT,0.0704378721395835
132,VRSK,0.07523822297799031
133,VRTX,0.06827983166
134,WDAY,0.01
135,WIX,0.01
136,WTBA,0.09299410935717203
137,XPEL,0.15453834152670787
138,ZM,
139,ZNGA,0.01
